,,Base,Base,Base,Base,Cross-Validated GridSearch,Cross-Validated GridSearch,Cross-Validated GridSearch,Cross-Validated GridSearch
,,Logistic Regression,Support Vector Machine,Gaussian Naive Bayes,Decision Tree,Logistic Regression,Support Vector Machine,Gaussian Naive Bayes,Decision Tree
0,precision,0.6233766233766234,0.6375,0.6263736263736264,0.6323529411764706,0.6410256410256411,0.6582278481012658,0.5491803278688525,0.6268656716417911
0,recall,0.6956521739130435,0.7391304347826086,0.8260869565217391,0.6231884057971014,0.7246376811594203,0.7536231884057971,0.9710144927536232,0.6086956521739131
0,f1-score,0.6575342465753424,0.6845637583892616,0.7125,0.6277372262773723,0.6802721088435374,0.7027027027027026,0.7015706806282723,0.6176470588235294
0,support,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
1,precision,0.65,0.6842105263157895,0.7391304347826086,0.6231884057971014,0.6779661016949152,0.7068965517241379,0.8666666666666667,0.6142857142857143
1,recall,0.5735294117647058,0.5735294117647058,0.5,0.6323529411764706,0.5882352941176471,0.6029411764705882,0.19117647058823528,0.6323529411764706
1,f1-score,0.609375,0.6239999999999999,0.5964912280701754,0.6277372262773723,0.6299212598425196,0.6507936507936507,0.3132530120481928,0.6231884057971014
1,support,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0
all,accuracy,0.635036496350365,0.656934306569343,0.6642335766423357,0.6277372262773723,0.656934306569343,0.6788321167883211,0.583941605839416,0.6204379562043796
macro avg,precision,0.6366883116883117,0.6608552631578948,0.6827520305781175,0.6277706734867861,0.6594958713602781,0.6825621999127018,0.7079234972677596,0.6205756929637527
macro avg,recall,0.6345907928388747,0.6563299232736572,0.6630434782608696,0.6277706734867861,0.6564364876385337,0.6782821824381926,0.5810954816709293,0.6205242966751918
macro avg,f1-score,0.6334546232876712,0.6542818791946308,0.6544956140350877,0.6277372262773723,0.6550966843430285,0.6767481767481767,0.5074118463382326,0.6204177323103155
macro avg,support,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0
weighted avg,precision,0.6365911460801972,0.6606847867844794,0.6823405093795446,0.6278041206961997,0.6593610521607552,0.6823845769067789,0.7067647880020742,0.6206216052168771
weighted avg,recall,0.635036496350365,0.656934306569343,0.6642335766423357,0.6277372262773723,0.656934306569343,0.6788321167883211,0.583941605839416,0.6204379562043796
weighted avg,f1-score,0.6336303869613038,0.6545029148091901,0.6549190037136637,0.6277372262773723,0.65528044656566,0.6769376258427353,0.5088290641067731,0.6203975084162513
weighted avg,support,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0
